,date,year,monthlyAveragePrecipitation,maxDischarge,medianDischarge,aggregatedDegreeDays,maxTurb,medianTurb,maxWaterTemp,medWaterTemp,season,discharge,gageHeight
0,2019-05-28,2019,0.09720000000000001,554.0,137.0,50.333333333333336,1557.0,1.0,20.68,12.27,Summer,70.1,6.18
5,2019-05-30,2019,0.1072,324.0,127.0,52.833333333333336,1557.0,1.0005,20.68,13.125,Summer,96.1,6.38
10,2019-05-31,2019,0.09999999999999998,324.0,125.0,53.625,1557.0,0.9935,20.68,13.54,Summer,82.5,6.28
15,2019-06-03,2019,0.09839999999999999,321.0,117.0,52.958333333333336,1557.0,1.0779999999999998,20.68,14.34,Summer,62.1,6.11
20,2019-06-04,2019,0.0984,313.0,116.0,53.125,1557.0,1.082,20.68,14.64,Summer,64.4,6.13
25,2019-06-05,2019,0.09400000000000003,313.0,109.0,52.958333333333336,1557.0,1.115,20.68,14.83,Summer,54.7,6.04
30,2019-09-16,2019,0.0984,60.1,10.7,69.375,104.8,5.6585,26.87,20.73,Fall,10.0,5.42
35,2019-09-17,2019,0.0984,60.1,10.7,68.95833333333333,104.8,5.638,26.87,20.55,Fall,8.96,5.39
40,2019-09-23,2019,0.05840000000000001,49.5,9.94,64.75,148.0,5.427,23.94,19.725,Fall,6.65,5.32
45,2019-09-24,2019,,49.5,9.85,65.08333333333333,148.0,5.415,23.94,19.66,Fall,6.08,5.30
50,2019-09-26,2019,0.05840000000000001,49.5,9.74,65.08333333333333,148.0,5.365,23.94,19.58,Fall,7.20,5.34
55,2019-10-03,2019,0.0444,19.3,8.27,63.125,246.7,5.275,22.85,18.69,Fall,7.41,5.35
60,2020-06-05,2020,0.0384,172.0,67.5,49.125,1557.0,4.112500000000001,24.07,15.835,Summer,31.6,5.77
65,2020-06-06,2020,0.0384,158.0,63.0,50.416666666666664,1557.0,4.229,24.07,16.06,Summer,30.8,5.76
70,2020-06-07,2020,0.0384,144.0,60.8,51.083333333333336,1557.0,4.357,24.19,16.34,Summer,36.1,5.83
80,2020-06-08,2020,0.0384,142.0,56.5,51.166666666666664,1557.0,4.4915,24.19,16.595,Summer,30.1,5.75
85,2020-06-09,2020,0.0292,130.0,50.5,51.875,1557.0,4.6225000000000005,24.19,16.82,Summer,26.0,5.69
90,2020-09-18,2020,0.12239999999999998,58.9,9.04,69.33333333333333,3.779,2.989,27.16,21.51,Fall,8.36,5.35
